Country,Clicks,Impressions,CTR,Position
Netherlands,198,3382,5.85%,12.75
Belgium,4,333,1.2%,13.07
Germany,4,69,5.8%,29.83
France,2,42,4.76%,23.02
Italy,1,21,4.76%,38.1
Norway,1,10,10%,37.5
Austria,1,7,14.29%,16.29
Croatia,1,3,33.33%,36
United States,0,585,0%,40.26
Russia,0,173,0%,45.93
South Korea,0,157,0%,44.94
India,0,131,0%,40.63
Brazil,0,127,0%,46.89
United Kingdom,0,102,0%,45.33
Vietnam,0,99,0%,41.16
Philippines,0,52,0%,49.77
Indonesia,0,49,0%,46.9
Spain,0,43,0%,25.02
Mexico,0,36,0%,43.5
Argentina,0,35,0%,46.69
Canada,0,32,0%,42.06
Taiwan,0,28,0%,44.57
Japan,0,27,0%,36.67
Turkey,0,25,0%,34.84
Ukraine,0,25,0%,41.92
Colombia,0,23,0%,46.87
Malaysia,0,23,0%,48.17
Thailand,0,21,0%,49.14
Egypt,0,20,0%,51.4
Morocco,0,19,0%,36.95
Lithuania,0,15,0%,40.67
Bangladesh,0,15,0%,41.47
Singapore,0,15,0%,42.33
Australia,0,15,0%,48.27
Chile,0,13,0%,38.54
Peru,0,13,0%,45.15
Iraq,0,12,0%,33.5
Switzerland,0,12,0%,42.67
Pakistan,0,12,0%,44.58
Poland,0,12,0%,51.92
United Arab Emirates,0,10,0%,39.1
Israel,0,10,0%,53.8
Curaçao,0,9,0%,5.33
Romania,0,9,0%,34.67
Czechia,0,9,0%,41
South Africa,0,8,0%,32.25
Dominican Republic,0,8,0%,35.5
Sweden,0,8,0%,39.5
Uzbekistan,0,8,0%,42
Saudi Arabia,0,8,0%,43.88
Ireland,0,8,0%,49
Algeria,0,8,0%,49.88
Azerbaijan,0,8,0%,59.12
Bulgaria,0,7,0%,27.43
Georgia,0,7,0%,51.29
Palestine,0,6,0%,43
Venezuela,0,6,0%,47.33
Nepal,0,6,0%,68.83
Suriname,0,5,0%,7.6
Greece,0,5,0%,25.6
Serbia,0,5,0%,26.8
Hungary,0,5,0%,38.4
Mongolia,0,5,0%,45.2
New Zealand,0,4,0%,24.5
Albania,0,4,0%,35.5
Ecuador,0,4,0%,35.75
Cambodia,0,4,0%,35.75
Tunisia,0,4,0%,40.75
Jamaica,0,4,0%,41.25
Panama,0,4,0%,42.75
Unknown Region,0,4,0%,45.5
Portugal,0,3,0%,15.33
Slovenia,0,3,0%,27
Jordan,0,3,0%,27.33
Trinidad & Tobago,0,3,0%,42.67
Armenia,0,3,0%,44
Hong Kong,0,3,0%,46.33
Puerto Rico,0,3,0%,48.33
Latvia,0,3,0%,49.67
Honduras,0,3,0%,64.67
Sint Maarten,0,2,0%,13
Ethiopia,0,2,0%,21.5
Laos,0,2,0%,23
Moldova,0,2,0%,24.5
Finland,0,2,0%,29
Senegal,0,2,0%,30.5
Côte d’Ivoire,0,2,0%,32.5
China,0,2,0%,39
Macedonia,0,2,0%,40.5
Bolivia,0,2,0%,46
Kazakhstan,0,2,0%,46.5
Slovakia,0,2,0%,46.5
Bosnia & Herzegovina,0,2,0%,50
Costa Rica,0,2,0%,58.5
Botswana,0,2,0%,63.5
Libya,0,2,0%,71.5
Belarus,0,2,0%,72
Caribbean Netherlands,0,1,0%,1
Congo - Brazzaville,0,1,0%,3
Denmark,0,1,0%,4
Nigeria,0,1,0%,17
Malta,0,1,0%,24
El Salvador,0,1,0%,25
Mozambique,0,1,0%,26
Réunion,0,1,0%,26
Gambia,0,1,0%,29
Antigua & Barbuda,0,1,0%,34
Paraguay,0,1,0%,35
Iran,0,1,0%,39
Guadeloupe,0,1,0%,41
Oman,0,1,0%,41
Andorra,0,1,0%,47
Åland Islands,0,1,0%,51
Kenya,0,1,0%,60
Mali,0,1,0%,60
Bahrain,0,1,0%,63
Sri Lanka,0,1,0%,63
Kyrgyzstan,0,1,0%,74
Malawi,0,1,0%,81
Kuwait,0,1,0%,82
Montenegro,0,1,0%,89
St. Lucia,0,1,0%,90
Guatemala,0,1,0%,93
Zimbabwe,0,1,0%,112
